method,condition,seed,attack_level,total_reward,success,final_distance,episode_length,action_smoothness,action_magnitude,safety_violation,recovery_used,episode_idx,recovery_version,benchmark_layer
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,101,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,102,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,103,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,104,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,105,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,106,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,107,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,108,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,109,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,110,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,111,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,112,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,113,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,114,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,115,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,116,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,117,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,118,none,B1
sac_her,sensor_dropout,0,0.0,-50.0,0.0,0.9903275461514524,50,0.015455588698387146,1.8599225282669067,1.0,0.0,119,none,B1
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,120,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,121,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,122,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,123,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,124,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,125,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,126,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,127,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,128,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,129,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,130,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,131,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,132,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,133,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,134,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,135,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,136,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,137,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,138,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,139,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,140,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,141,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,142,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,143,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,144,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,145,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,146,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,147,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,148,v2,B2
sac_her_recovery_v2,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,149,v2,B2
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,150,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,151,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,152,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,153,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,154,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,155,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,156,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,157,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,158,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,159,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,160,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,161,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,162,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,163,v3,B3
sac_her_recovery_v3,sensor_dropout,0,0.0,-12.0,1.0,0.02215320881823452,50,0.0908612534403801,0.3569084107875824,1.0,1.0,164,v3,B3
