benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B3,sac_her_recovery_v3,action_clipping,0.3,0.02,-146.9,0.25259039092301855,150.0,0.08335306481768684,0.522893416484197,0.0,1.0,150,0.02,0.2518273445835709,0.02,1.0,0.006666666666666666,0.25969880225004754,0.20936546891671418,0.20936546891671418
B3,sac_her_recovery_v3,action_delay,0.0,0.013333333333333334,-147.96666666666667,0.252060539948713,150.0,0.13881698384881014,1.130697295864423,0.0,1.0,150,0.013333333333333334,0.14112125760812888,0.013333333333333334,1.0,0.0,0.23355758485495912,0.18289091818829245,0.18289091818829245
B3,sac_her_recovery_v3,action_reversal,0.0,0.02,-147.0,0.2542061889709272,150.0,0.12971150118857616,1.0939101159572602,0.013333333333333334,1.0,150,0.02,0.15456893149594414,0.02,0.9866666666666667,0.0,0.23624711963252218,0.1859137862991888,0.1859137862991888
B3,sac_her_recovery_v3,clean,0.0,0.013333333333333334,-147.98,0.25225394018797287,150.0,0.1835279156515995,1.1141874142487844,0.0,1.0,150,0.013333333333333334,0.05045336440093584,0.013333333333333334,1.0,1.0,0.41542400621352055,0.46475733954685383,0.46475733954685383
B3,sac_her_recovery_v3,contact_dropout,0.0,0.02,-147.0,0.25395523727841335,150.0,0.10451865655059611,1.343337713678678,0.0,1.0,150,0.02,0.20598270485728995,0.02,1.0,0.0,0.24919654097145802,0.198196540971458,0.198196540971458
B3,sac_her_recovery_v3,goal_spoof_immediate,0.1,0.02,-147.04666666666665,0.2613132668652913,150.0,0.17477483569333946,1.1911604674657186,0.006666666666666667,1.0,150,0.02,0.04731545352698455,0.02,0.9933333333333333,0.013333333333333332,0.21879642403873026,0.16946309070539692,0.16946309070539692
B3,sac_her_recovery_v3,goal_spoof_midep,0.1,0.013333333333333334,-147.96666666666667,0.25536549279216414,150.0,0.14363102945188677,1.154499047199885,0.0,1.0,150,0.013333333333333334,0.12381833393215216,0.013333333333333334,1.0,0.0,0.23009700011976375,0.17943033345309709,0.17943033345309709
B3,sac_her_recovery_v3,grip_state_falsification,0.0,0.013333333333333334,-148.03333333333333,0.25883273164879744,150.0,0.19822227817028756,1.1200880789756775,0.0,1.0,150,0.013333333333333334,0.005695543696461324,0.013333333333333334,1.0,0.0,0.2064724420726256,0.1558057754059589,0.1558057754059589
B3,sac_her_recovery_v3,object_pose_spoof,0.1,0.02,-147.03333333333333,0.25591976220423474,150.0,0.17004215288907285,1.1434253716468812,0.0,1.0,150,0.02,0.06924970493170182,0.02,1.0,0.006666666666666666,0.2231832743196737,0.17284994098634035,0.17284994098634035
B3,sac_her_recovery_v3,sensor_bias,0.1,0.02,-146.98666666666668,0.256456760480212,150.0,0.0873819026537239,1.3234532235066097,0.013333333333333334,1.0,150,0.02,0.2348198545130167,0.02,0.9866666666666667,0.0,0.2522973042359367,0.20196397090260335,0.20196397090260335
B3,sac_her_recovery_v3,sensor_dropout,0.0,0.02,-147.0,0.2606758478233093,150.0,0.020260497285053088,1.227261952161789,0.02666666666666667,1.0,150,0.02,0.3605791744445049,0.02,0.9733333333333334,0.0,0.27478250155556766,0.22511583488890097,0.22511583488890097
