benchmark_layer,method,condition,attack_level,success_rate,avg_reward,final_distance,avg_episode_length,action_smoothness,action_magnitude,safety_violation_rate,recovery_rate,n_seeds,reliability_score,robustness_score,cyber_resilience_score,safety_score,recovery_score,trustworthiness_score_equal,trustworthiness_score_weighted,trustworthiness_score
B2,sac_her_recovery_v2,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.02193228838033969,1.5487876733144124,0.006666666666666667,1.0,150,0.02,0.4856850325021005,0.02,0.9933333333333333,0.0,0.3038036731670868,0.2531370065004201,0.2531370065004201
B3,sac_her_recovery_v3,action_clipping,0.3,0.98,-51.78,0.030862123708490844,150.0,0.21654224408169584,0.4536505315701167,0.0,0.98,150,0.98,0.8425471616132191,0.98,1.0,0.0,0.7605094323226438,0.6615094323226438,0.6615094323226438
B3,sac_her_recovery_v3,action_delay,0.0,0.86,-44.946666666666665,0.08947312065068823,150.0,0.3296018462379773,1.1771269786357879,0.10666666666666667,0.76,150,0.86,0.6723323738605305,0.86,0.8933333333333333,0.0,0.6571331414387727,0.5694664747721061,0.5694664747721061
B3,sac_her_recovery_v3,action_reversal,0.0,0.02,-147.0,0.25158581358306503,150.0,0.08444120872765774,1.2499928834040959,0.0,1.0,150,0.02,0.44252279059851346,0.02,1.0,0.0,0.2965045581197027,0.2455045581197027,0.2455045581197027
B3,sac_her_recovery_v3,clean,0.0,0.9866666666666667,-12.233333333333333,0.03001792937427816,150.0,0.19598205489416912,1.013053304751714,0.0,0.1,150,0.9866666666666667,0.8531769277019277,0.9866666666666667,1.0,1.0,0.9653020522070523,0.9659687188737189,0.9659687188737189
B3,sac_her_recovery_v3,contact_dropout,0.0,0.02,-147.0,0.2515751475619081,150.0,0.06160885279377297,1.188324768145879,0.0,1.0,150,0.02,0.4524079578694885,0.02,1.0,0.0,0.29848159157389775,0.2474815915738977,0.2474815915738977
B3,sac_her_recovery_v3,goal_spoof_immediate,0.1,0.1,-135.12,0.09656316859649859,150.0,0.441261309509476,1.1135183397928874,0.0,0.32,150,0.1,0.6094153854359798,0.1,1.0,0.04000000000000001,0.369883077087196,0.318883077087196,0.318883077087196
B3,sac_her_recovery_v3,goal_spoof_midep,0.1,0.12,-88.94,0.10060685979243884,150.0,0.343296884521842,1.084986939827601,0.0,0.14,150,0.12,0.643359936941545,0.12,1.0,0.026666666666666658,0.38200532072164234,0.32867198738830905,0.32867198738830905
B3,sac_her_recovery_v3,grip_state_falsification,0.0,0.26,-118.12666666666667,0.20122232037095214,150.0,0.9259727138280869,1.1636280705531439,0.25333333333333335,0.8866666666666667,150,0.26,0.1832955838887176,0.26,0.7466666666666666,0.053333333333333344,0.3006591167777435,0.2556591167777435,0.2556591167777435
B3,sac_her_recovery_v3,object_pose_spoof,0.1,0.25333333333333335,-112.40666666666667,0.07731503277096595,150.0,0.3042299942175547,1.0603246947129568,0.02,0.29333333333333333,150,0.25333333333333335,0.7084702281707222,0.25333333333333335,0.98,0.0,0.4390273789674778,0.37736071230081114,0.37736071230081114
B3,sac_her_recovery_v3,sensor_bias,0.1,0.013333333333333334,-148.32666666666665,0.28973389182976406,150.0,0.5617889081686736,1.1468464515606562,0.2,1.0,150,0.013333333333333334,0.1573194545458395,0.013333333333333334,0.8,0.0,0.19679722424250126,0.15613055757583455,0.15613055757583455
B3,sac_her_recovery_v3,sensor_dropout,0.0,0.02,-147.0,0.25158581358306503,150.0,0.02145200909115369,1.5242656866709392,0.006666666666666667,1.0,150,0.02,0.46973274989681674,0.02,0.9933333333333333,0.0,0.30061321664603,0.24994654997936336,0.24994654997936336
